time,promoter_35S,promoter_19S,gene_P5,gene_P4,gene_P6,gene_P1,untracked_large,gene_P3,gene_P2
10525.0,1000,1000,1000,1000,310,1000,1000,1000,1000
10526.0,1000,1000,1000,1000,310,1000,1000,1000,1000
10527.0,1000,1000,1000,1000,310,1000,1000,1000,1000
10528.0,1000,1000,1000,1000,310,1000,1000,1000,1000
10529.0,1000,1000,1000,1000,310,1000,1000,1000,1000
10530.0,1000,1000,1000,1000,310,1000,1000,1000,1000
10531.0,1000,1000,1000,1000,310,1000,1000,1000,1000
10532.0,1000,1000,1000,1000,310,1000,1000,1000,1000
10533.0,1000,1000,1000,1000,310,1000,1000,1000,1000
10534.0,1000,1000,1000,1000,310,1000,1000,1000,1000
10535.0,1000,1000,1000,1000,310,1000,1000,1000,1000
10536.0,1000,1000,1000,1000,310,1000,1000,1000,1000
10537.0,1000,1000,1000,1000,310,1000,1000,1000,1000
10538.0,1000,1000,1000,1000,310,1000,1000,1000,1000
10539.0,1000,1000,1000,1000,310,1000,1000,1000,1000
10540.0,1000,1000,1000,1000,310,1000,1000,1000,1000
10541.0,1000,1000,1000,1000,310,1000,1000,1000,1000
10542.0,1000,1000,1000,1000,310,1000,1000,1000,1000
10543.0,1000,1000,1000,1000,310,1000,1000,1000,1000
10544.0,1000,1000,1000,1000,310,1000,1000,1000,1000
10545.0,1000,1000,1000,1000,310,1000,1000,1000,1000
10546.0,1000,1000,1000,1000,310,1000,1000,1000,1000
10547.0,1000,1000,1000,1000,310,1000,1000,1000,1000
10548.0,1000,1000,1000,1000,310,1000,1000,1000,1000
10549.0,1000,1000,1000,1000,310,1000,1000,1000,1000
10550.0,1000,1000,1000,1000,310,1000,1000,1000,1000
10551.0,1000,1000,1000,1000,310,1000,1000,1000,1000
10552.0,1000,1000,1000,1000,310,1000,1000,1000,1000
10553.0,1000,1000,1000,1000,310,1000,1000,1000,1000
10554.0,1000,1000,1000,1000,310,1000,1000,1000,1000
10555.0,1000,1000,1000,1000,310,1000,1000,1000,1000
10556.0,1000,1000,1000,1000,310,1000,1000,1000,1000
10557.0,1000,1000,1000,1000,310,1000,1000,1000,1000
10558.0,1000,1000,1000,1000,310,1000,1000,1000,1000
10559.0,1000,1000,1000,1000,310,1000,1000,1000,1000
10560.0,1000,1000,1000,1000,310,1000,1000,1000,1000
10561.0,1000,1000,1000,1000,310,1000,1000,1000,1000
10562.0,1000,1000,1000,1000,310,1000,1000,1000,1000
10563.0,1000,1000,1000,1000,310,1000,1000,1000,1000
10564.0,1000,1000,1000,1000,310,1000,1000,1000,1000
10565.0,1000,1000,1000,1000,310,1000,1000,1000,1000
10566.0,1000,1000,1000,1000,309,1000,1000,1000,1000
10567.0,1000,1000,1000,1000,309,1000,1000,1000,1000
10568.0,1000,1000,1000,1000,309,1000,1000,1000,1000
10569.0,1000,1000,1000,1000,309,1000,1000,1000,1000
10570.0,1000,1000,1000,1000,309,1000,1000,1000,1000
10571.0,1000,1000,1000,1000,309,1000,1000,1000,1000
