"time_h","gene_P6","fit_P6"
4.12583333333333,0.213,0.207116119172624
4.12611111111111,0.213,0.20709416522329
4.12638888888889,0.213,0.207072213601037
4.12666666666667,0.213,0.207050264305618
4.12694444444444,0.213,0.207028317336785
4.12722222222222,0.213,0.207006372694294
4.1275,0.213,0.206984430377896
4.12777777777778,0.213,0.206962490387346
4.12805555555556,0.213,0.206940552722397
4.12833333333333,0.213,0.206918617382802
4.12861111111111,0.213,0.206896684368315
4.12888888888889,0.213,0.20687475367869
4.12916666666667,0.213,0.20685282531368
4.12944444444444,0.213,0.206830899273038
4.12972222222222,0.213,0.206808975556519
4.13,0.213,0.206787054163876
4.13027777777778,0.213,0.206765135094862
4.13055555555556,0.213,0.206743218349231
4.13083333333333,0.213,0.206721303926738
4.13111111111111,0.213,0.206699391827135
4.13138888888889,0.213,0.206677482050177
4.13166666666667,0.213,0.206655574595617
4.13194444444444,0.213,0.206633669463209
4.13222222222222,0.213,0.206611766652708
4.1325,0.213,0.206589866163866
4.13277777777778,0.213,0.206567967996438
4.13305555555556,0.213,0.206546072150178
4.13333333333333,0.213,0.20652417862484
4.13361111111111,0.213,0.206502287420177
4.13388888888889,0.213,0.206480398535944
4.13416666666667,0.213,0.206458511971895
4.13444444444444,0.213,0.206436627727783
4.13472222222222,0.213,0.206414745803364
4.135,0.213,0.20639286619839
4.13527777777778,0.213,0.206370988912617
4.13555555555556,0.213,0.206349113945798
4.13583333333333,0.213,0.206327241297688
4.13611111111111,0.213,0.20630537096804
4.13638888888889,0.213,0.206283502956609
4.13666666666667,0.213,0.20626163726315
4.13694444444444,0.213,0.206239773887416
4.13722222222222,0.213,0.206217912829162
4.1375,0.213,0.206196054088143
4.13777777777778,0.213,0.206174197664112
4.13805555555556,0.212,0.206152343556824
4.13833333333333,0.212,0.206130491766033
4.13861111111111,0.212,0.206108642291495
4.13888888888889,0.212,0.206086795132962
4.13916666666667,0.212,0.206064950290191
4.13944444444444,0.212,0.206043107762935
4.13972222222222,0.212,0.206021267550949
4.14,0.212,0.205999429653988
4.14027777777778,0.212,0.205977594071806
4.14055555555556,0.212,0.205955760804158
4.14083333333333,0.212,0.205933929850798
4.14111111111111,0.212,0.205912101211481
4.14138888888889,0.212,0.205890274885962
4.14166666666667,0.212,0.205868450873996
4.14194444444444,0.212,0.205846629175338
4.14222222222222,0.211,0.205824809789741
4.1425,0.211,0.205802992716962
4.14277777777778,0.211,0.205781177956754
4.14305555555556,0.211,0.205759365508874
4.14333333333333,0.211,0.205737555373074
4.14361111111111,0.211,0.205715747549112
4.14388888888889,0.211,0.205693942036741
4.14416666666667,0.211,0.205672138835716
4.14444444444444,0.211,0.205650337945793
4.14472222222222,0.211,0.205628539366726
4.145,0.211,0.205606743098271
4.14527777777778,0.211,0.205584949140183
4.14555555555556,0.211,0.205563157492216
4.14583333333333,0.211,0.205541368154126
4.14611111111111,0.211,0.205519581125669
4.14638888888889,0.211,0.205497796406598
4.14666666666667,0.211,0.20547601399667
4.14694444444444,0.211,0.205454233895639
4.14722222222222,0.211,0.205432456103262
4.1475,0.211,0.205410680619293
4.14777777777778,0.211,0.205388907443487
4.14805555555556,0.211,0.2053671365756
4.14833333333333,0.211,0.205345368015387
4.14861111111111,0.211,0.205323601762604
4.14888888888889,0.211,0.205301837817006
4.14916666666667,0.211,0.205280076178349
4.14944444444444,0.211,0.205258316846387
4.14972222222222,0.211,0.205236559820877
4.15,0.211,0.205214805101574
4.15027777777778,0.211,0.205193052688233
4.15055555555556,0.211,0.20517130258061
4.15083333333333,0.211,0.205149554778462
4.15111111111111,0.211,0.205127809281542
4.15138888888889,0.211,0.205106066089607
4.15166666666667,0.211,0.205084325202413
4.15194444444444,0.211,0.205062586619715
4.15222222222222,0.211,0.20504085034127
4.1525,0.211,0.205019116366832
4.15277777777778,0.211,0.204997384696158
4.15305555555556,0.211,0.204975655329003
4.15333333333333,0.211,0.204953928265123
4.15361111111111,0.211,0.204932203504274
4.15388888888889,0.211,0.204910481046213
4.15416666666667,0.211,0.204888760890694
4.15444444444444,0.211,0.204867043037474
4.15472222222222,0.211,0.204845327486309
4.155,0.211,0.204823614236954
4.15527777777778,0.211,0.204801903289167
4.15555555555556,0.211,0.204780194642702
4.15583333333333,0.211,0.204758488297316
4.15611111111111,0.211,0.204736784252765
4.15638888888889,0.211,0.204715082508805
4.15666666666667,0.211,0.204693383065192
4.15694444444444,0.211,0.204671685921683
4.15722222222222,0.211,0.204649991078033
4.1575,0.211,0.204628298533999
4.15777777777778,0.211,0.204606608289337
4.15805555555556,0.211,0.204584920343803
4.15833333333333,0.211,0.204563234697154
4.15861111111111,0.211,0.204541551349146
4.15888888888889,0.211,0.204519870299535
4.15916666666667,0.211,0.204498191548078
4.15944444444444,0.211,0.204476515094531
4.15972222222222,0.211,0.20445484093865
4.16,0.211,0.204433169080192
4.16027777777778,0.211,0.204411499518914
4.16055555555556,0.211,0.204389832254571
4.16083333333333,0.211,0.204368167286921
4.16111111111111,0.211,0.20434650461572
4.16138888888889,0.211,0.204324844240725
4.16166666666667,0.211,0.204303186161692
4.16194444444444,0.211,0.204281530378377
4.16222222222222,0.211,0.204259876890538
4.1625,0.211,0.204238225697931
4.16277777777778,0.211,0.204216576800313
4.16305555555556,0.211,0.204194930197441
4.16333333333333,0.211,0.20417328588907
4.16361111111111,0.211,0.20415164387496
4.16388888888889,0.211,0.204130004154865
4.16416666666667,0.211,0.204108366728542
4.16444444444444,0.211,0.20408673159575
4.16472222222222,0.211,0.204065098756244
4.165,0.21,0.204043468209781
4.16527777777778,0.21,0.204021839956119
4.16555555555556,0.21,0.204000213995014
4.16583333333333,0.21,0.203978590326224
4.16611111111111,0.21,0.203956968949505
4.16638888888889,0.21,0.203935349864614
4.16666666666667,0.21,0.203913733071309
4.16694444444444,0.21,0.203892118569346
4.16722222222222,0.21,0.203870506358484
4.1675,0.21,0.203848896438478
4.16777777777778,0.21,0.203827288809086
4.16805555555556,0.21,0.203805683470065
4.16833333333333,0.21,0.203784080421173
4.16861111111111,0.21,0.203762479662166
4.16888888888889,0.21,0.203740881192803
4.16916666666667,0.21,0.203719285012839
4.16944444444444,0.21,0.203697691122034
4.16972222222222,0.21,0.203676099520143
4.17,0.21,0.203654510206925
4.17027777777778,0.21,0.203632923182136
4.17055555555556,0.21,0.203611338445535
4.17083333333333,0.21,0.203589755996878
4.17111111111111,0.21,0.203568175835923
4.17138888888889,0.21,0.203546597962428
4.17166666666667,0.21,0.20352502237615
4.17194444444444,0.21,0.203503449076847
4.17222222222222,0.21,0.203481878064276
4.1725,0.21,0.203460309338195
4.17277777777778,0.21,0.203438742898362
4.17305555555556,0.21,0.203417178744534
4.17333333333333,0.21,0.203395616876468
4.17361111111111,0.21,0.203374057293924
4.17388888888889,0.21,0.203352499996657
4.17416666666667,0.21,0.203330944984427
4.17444444444444,0.21,0.203309392256991
4.17472222222222,0.21,0.203287841814106
4.175,0.21,0.203266293655531
4.17527777777778,0.21,0.203244747781023
4.17555555555556,0.21,0.203223204190341
4.17583333333333,0.21,0.203201662883242
4.17611111111111,0.21,0.203180123859484
4.17638888888889,0.21,0.203158587118825
4.17666666666667,0.21,0.203137052661024
4.17694444444444,0.21,0.203115520485837
4.17722222222222,0.21,0.203093990593024
4.1775,0.21,0.203072462982342
4.17777777777778,0.21,0.20305093765355
4.17805555555556,0.21,0.203029414606405
4.17833333333333,0.21,0.203007893840665
4.17861111111111,0.21,0.20298637535609
4.17888888888889,0.21,0.202964859152436
4.17916666666667,0.21,0.202943345229463
4.17944444444444,0.21,0.202921833586928
4.17972222222222,0.21,0.202900324224591
4.18,0.21,0.202878817142208
4.18027777777778,0.21,0.202857312339538
4.18055555555556,0.21,0.202835809816341
4.18083333333333,0.21,0.202814309572373
4.18111111111111,0.21,0.202792811607394
4.18138888888889,0.21,0.202771315921162
4.18166666666667,0.21,0.202749822513436
4.18194444444444,0.21,0.202728331383973
4.18222222222222,0.21,0.202706842532533
4.1825,0.21,0.202685355958874
4.18277777777778,0.21,0.202663871662755
4.18305555555556,0.21,0.202642389643933
4.18333333333333,0.21,0.202620909902169
4.18361111111111,0.21,0.202599432437219
4.18388888888889,0.21,0.202577957248844
4.18416666666667,0.21,0.202556484336801
4.18444444444444,0.21,0.20253501370085
4.18472222222222,0.21,0.202513545340749
4.185,0.21,0.202492079256257
4.18527777777778,0.21,0.202470615447133
4.18555555555556,0.21,0.202449153913135
4.18583333333333,0.21,0.202427694654022
4.18611111111111,0.21,0.202406237669554
4.18638888888889,0.21,0.202384782959489
4.18666666666667,0.21,0.202363330523586
4.18694444444444,0.21,0.202341880361604
4.18722222222222,0.21,0.202320432473302
4.1875,0.21,0.202298986858438
4.18777777777778,0.21,0.202277543516773
4.18805555555556,0.21,0.202256102448065
4.18833333333333,0.21,0.202234663652073
4.18861111111111,0.21,0.202213227128556
4.18888888888889,0.21,0.202191792877273
4.18916666666667,0.21,0.202170360897984
4.18944444444444,0.21,0.202148931190448
4.18972222222222,0.21,0.202127503754423
