team_year,track,region
UC-Santa_Cruz_2013,Environment,North America
Tufts_2013,New Application,North America
Toronto_2013,Foundational Advance,North America
Stanford-Brown_2013,New Application,North America
Rutgers_2013,Health & Medicine,North America
RHIT_2013,Foundational Advance,North America
Queens_Canada_2013,Health & Medicine,North America
Purdue_2013,Foundational Advance,North America
Penn_State_2013,Manufacturing,North America
OU-Norman_OK_2013,Food & Energy,North America
Penn_2013,Foundational Advance,North America
Northwestern_2013,Health & Medicine,North America
Nevada_2013,Environment,North America
MIT_2013,Health & Medicine,North America
MSOE_Milwaukee_2013,Food & Energy,North America
Missouri_Miners_2013,Undefined,North America
Minnesota_2013,Manufacturing,North America
Michigan_2013,Foundational Advance,North America
McMaster_2013,Undefined,North America
Lethbridge_Entrepreneurs_2013,Entrepreneurship,North America
IvyTech_SouthBend_IN_2013,Undefined,North America
Lethbridge_2013,Foundational Advance,North America
Hartford_Genomics_2013,Undefined,North America
Glendale_CC_AZ_2013,Undefined,North America
Greensboro-Austin_2013,Manufacturing,North America
Georgia_State_2013,Health & Medicine,North America
GeorgiaTech_2013,Foundational Advance,North America
Gaston_Day_School_2013,Environment,North America
Duke_2013,New Application,North America
CSU_Fort_Collins_2013,Food & Energy,North America
CSU_Fort_Collins_2013,Food & Energy,North America
Cornell_2013,Manufacturing,North America
Concordia_2013,Information Processing,North America
Clemson_2013,Environment,North America
Carnegie_Mellon_2013,Health & Medicine,North America
Calgary_Entrepreneurial_2013,Entrepreneurship,North America
BYU_Provo_2013,Foundational Advance,North America
Calgary_2013,Food & Energy,North America
British_Columbia_2013,Food & Energy,North America
BostonU_2013,Foundational Advance,North America
Berkeley_2013,Manufacturing,North America
Alberta_2013,Information Processing,North America
USP-Brazil_2013,Manufacturing,Latin America
Arizona_State_2013,Health & Medicine,North America
UFMG_Brazil_2013,Health & Medicine,Latin America
UC_Chile_2013,Manufacturing,Latin America
UANL_Mty-Mexico_2013,Information Processing,Latin America
TecMonterrey_2013,Health & Medicine,Latin America
Manaus_Amazonas-Brazil_2013,Food & Energy,Latin America
Costa_Rica_Cibus_2013,Environment,Latin America
Guadalajara_2013,Environment,Latin America
Colombia_Uniandes_2013,Environment,Latin America
Ciencias-UNAM_2013,Health & Medicine,Latin America
Buenos_Aires_2013,Environment,Latin America
BIOSINT_Mexico_2013,Health & Medicine,Latin America
York_UK_2013,Food & Energy,Europe
Westminster_2013,Environment,Europe
Warsaw_2013,Food & Energy,Europe
Wageningen_UR_2013,Manufacturing,Europe
Valencia_Biocampus_2013,New Application,Europe
Valencia-CIPF_2013,Environment,Europe
Uppsala_2013,Food & Energy,Europe
UNITN-Trento_2013,Food & Energy,Europe
UNIK_Copenhagen_2013,New Application,Europe
UniSalento_Lecce_2013,Environment,Europe
UCL_E_2013,Entrepreneurship,Europe
UGent_2013,Foundational Advance,Europe
UCL_PG_2013,Foundational Advance,Europe
UCL_2013,Health & Medicine,Europe
TU_Darmstadt_2013,Food & Energy,Europe
Tuebingen_2013,Environment,Europe
TU-Eindhoven_2013,New Application,Europe
TU-Munich_2013,Environment,Europe
Poznan-BioInf_2013,Information Processing,Europe
SDU-Denmark_2013,Manufacturing,Europe
Poznan-BioInf_2013,Information Processing,Europe
Paris_Saclay_2013,Environment,Europe
Oslo-Norway_2013,Undefined,Europe
NTNU-Trondheim_2013,Health & Medicine,Europe
NRP-UEA-Norwich_2013,Health & Medicine,Europe
Paris_Bettencourt_2013,Health & Medicine,Europe
METU_Turkey_2013,Environment,Europe
Manchester_2013,Food & Energy,Europe
Newcastle_2013,Foundational Advance,Europe
Marburg_2013,Health & Medicine,Europe
Linkoping_Sweden_2013,Health & Medicine,Europe
Linkoping_Sweden_2013,Health & Medicine,Europe
Leeds_2013,Health & Medicine,Europe
KU_Leuven_2013,Environment,Europe
Kent_2013,Environment,Europe
ITU_MOBGAM_Turkey_2013,Health & Medicine,Europe
INSA_Toulouse_2013,Foundational Advance,Europe
Imperial_College_2013,Manufacturing,Europe
Groningen_2013,Health & Medicine,Europe
Grenoble-EMSE-LSU_2013,New Application,Europe
Heidelberg_2013,Foundational Advance,Europe
Goettingen_2013,Health & Medicine,Europe
Gdansk-UG_2013,Food & Energy,Europe
Frankfurt_2013,Food & Energy,Europe
Exeter_2013,Foundational Advance,Europe
Freiburg_2013,Foundational Advance,Europe
Evry_2013,Health & Medicine,Europe
ETH_Zurich_2013,Information Processing,Europe
EPF_Lausanne_2013,New Application,Europe
Edinburgh_2013,Environment,Europe
Dundee_2013,Environment,Europe
DTU-Denmark_2013,Environment,Europe
Braunschweig_2013,New Application,Europe
Bordeaux_2013,Food & Energy,Europe
Bielefeld-Germany_2013,Food & Energy,Europe
Bonn_2013,Foundational Advance,Europe
BGU_Israel_2013,Environment,Europe
Baskent_Meds_2013,Health & Medicine,Europe
ATOMS-Turkiye_2013,Health & Medicine,Europe
AMU-Poznan_2013,Software Tools,Europe
ZJU-China_2013,New Application,Asia
XMU_Software_2013,Software Tools,Asia
WHU-China_2013,New Application,Asia
XMU-China_2013,Foundational Advance,Asia
UT-Tokyo_2013,New Application,Asia
USTC-Software_2013,Software Tools,Asia
USTC_CHINA_2013,New Application,Asia
UI-Indonesia_2013,Health & Medicine,Asia
UESTC_2013,Software Tools,Asia
UESTC_Life_2013,Environment,Asia
Tsinghua-E_2013,Manufacturing,Asia
TzuChiU_Formosa_2013,Environment,Asia
Tsinghua-A_2013,Information Processing,Asia
Tokyo_Tech_2013,Information Processing,Asia
Tsinghua_2013,Health & Medicine,Asia
Tokyo-NoKoGen_2013,New Application,Asia
TMU-Tokyo_2013,New Application,Asia
SydneyUni_Australia_2013,Environment,Asia
Tianjin_2013,Food & Energy,Asia
SydneyUni_Australia_2013,Environment,Asia
SydneyUni_Australia_2013,Environment,Asia
SUSTC-Shenzhen-A_2013,Information Processing,Asia
Sumbawagen_2013,Food & Energy,Asia
SUSTC-Shenzhen-B_2013,Software Tools,Asia
SJTU-BioX-Shanghai_2013,New Application,Asia
Shenzhen_BGIC_ATCG_2013,Information Processing,Asia
Shenzhen_BGIC_0101_2013,Software Tools,Asia
SCU_China_2013,Foundational Advance,Asia
SCU_China_2013,Foundational Advance,Asia
SCUT_2013,Information Processing,Asia
SCAU-China_2013,Environment,Asia
Peking_2013,Environment,Asia
OUC-China_2013,Foundational Advance,Asia
Osaka_2013,Information Processing,Asia
NYMU-Taipei_2013,Environment,Asia
NU_Kazakhstan_2013,Health & Medicine,Asia
NTU_Taiwan_2013,Food & Energy,Asia
NTU-Taida_2013,Health & Medicine,Asia
NJU_NJUT_China_2013,New Application,Asia
NCTU_Formosa_2013,Foundational Advance,Asia
NJU_China_2013,Health & Medicine,Asia
Macquarie_Australia_2013,Food & Energy,Asia
Nanjing-China_2013,Environment,Asia
LZU-China_2013,Health & Medicine,Asia
Kyoto_2013,Information Processing,Asia
Korea_U_Seoul_2013,Environment,Asia
KAIT_Japan_2013,Health & Medicine,Asia
KIT-Kyoto_2013,New Application,Asia
KAIST_Korea_2013,Undefined,Asia
ITB_Indonesia_2013,Food & Energy,Asia
IIT_Delhi_2013,Environment,Asia
IIT_Madras_2013,Health & Medicine,Asia
HUST-China_2013,Health & Medicine,Asia
HZAU-China_2013,Health & Medicine,Asia
Hong_Kong_HKUST_2013,Health & Medicine,Asia
Hong_Kong_HKU_2013,Environment,Asia
HIT-Harbin_2013,Foundational Advance,Asia
Hong_Kong_CUHK_2013,New Application,Asia
HokkaidoU_Japan_2013,Foundational Advance,Asia
Fudan_2013,Foundational Advance,Asia
Chiba_2013,New Application,Asia
CBNU-Korea_2013,Software Tools,Asia
CAU_China_2013,Food & Energy,Asia
Biwako_Nagahama_2013,Environment,Asia
BIT-China_2013,New Application,Asia
BIT_2013,Food & Energy,Asia
AHUT_China_2013,Environment,Asia
AITM-Nepal_2013,Health & Medicine,Asia
USP-UNESP-Brazil_2012,Foundational Advance,Latin America
UPIBI-Mexico_2012,Undefined,Latin America
ULatinaPTY_2012,Undefined,Latin America
UNAM_Genomics_Mexico_2012,Information Processing,Latin America
UANL_Mty-Mexico_2012,Environment,Latin America
Tec-Monterrey_EKAM_2012,Manufacturing,Latin America
Tec-Monterrey_Bio_2012,Undefined,Latin America
UC_Chile_2012,New Application,Latin America
Tec-Monterrey_2012,New Application,Latin America
Panama_INDICASAT_2012,Environment,Latin America
Costa_Rica-TEC-UNA_2012,Food & Energy,Latin America
Colombia_2012,Environment,Latin America
Ciencias-UNAM_2012,Environment,Latin America
CINVESTAV-IPN-UNAM_MX_2012,Foundational Advance,Latin America
Westminster_2012,Health & Medicine,Europe
Warsaw_2012,Foundational Advance,Europe
Wageningen_UR_2012,Health & Medicine,Europe
Buenos_Aires_2012,Foundational Advance,Latin America
Valencia_2012,Food & Energy,Europe
Valencia_Biocampus_2012,New Application,Europe
Uppsala_University_2012,Health & Medicine,Europe
UTBC-RDCongo_2012,Environment,Europe
UTBC-RDCongo_2012,Environment,Europe
ULB-Brussels_2012,New Application,Europe
UNITN-Trento_2012,New Application,Europe
TU_Munich_2012,Food & Energy,Europe
TU_Darmstadt_2012,Environment,Europe
TU-Eindhoven_2012,New Application,Europe
Tuebingen_2012,Environment,Europe
Trieste_2012,Food & Energy,Europe
TU-Delft_2012,Information Processing,Europe
Technion_2012,New Application,Europe
St_Andrews_2012,Environment,Europe
Slovenia_2012,Health & Medicine,Europe
SDU-Denmark_2012,Health & Medicine,Europe
Potsdam_Bioware_2012,Manufacturing,Europe
Paris_Bettencourt_2012,Environment,Europe
Paris-Saclay_2012,New Application,Europe
NRP-UEA-Norwich_2012,New Application,Europe
NOUVEAUPARADIGMESCIENTIFIQUE_2012,Undefined,Europe
NTNU_Trondheim_2012,Manufacturing,Europe
METU_2012,Environment,Europe
Marburg_SYNMIKRO_2012,Foundational Advance,Europe
LMU-Munich_2012,New Application,Europe
Lyon-INSA_2012,Food & Energy,Europe
Lleida-Spain_2012,Undefined,Europe
Leicester_2012,Food & Energy,Europe
Grenoble_2012,Information Processing,Europe
KABK_ArtScience_2012,Undefined,Europe
Grenoble_2012,Information Processing,Europe
Goettingen_2012,Health & Medicine,Europe
Freiburg_2012,Foundational Advance,Europe
Frankfurt_2012,Food & Energy,Europe
Exeter_2012,Manufacturing,Europe
Fatih-Medical_2012,Health & Medicine,Europe
Evry_2012,Foundational Advance,Europe
EPF-Lausanne_2012,Manufacturing,Europe
ETH_Zurich_2012,Health & Medicine,Europe
Edinburgh_2012,Foundational Advance,Europe
Dundee_2012,Health & Medicine,Europe
Copenhagen_2012,Environment,Europe
Chalmers-Gothenburg_2012,New Application,Europe
Bordeaux_2012,Foundational Advance,Europe
Cambridge_2012,Foundational Advance,Europe
Bonn_2012,Foundational Advance,Europe
Baskent-Meds_2012,Undefined,Europe
Bielefeld-Germany_2012,Environment,Europe
Amsterdam_2012,Foundational Advance,Europe
ZJU-China_2012,New Application,Asia
XMU-China_2012,New Application,Asia
VIT_Vellore_2012,Food & Energy,Asia
WHU-China_2012,Health & Medicine,Asia
UT-Tokyo-Software_2012,Software Tools,Asia
UT-Tokyo_2012,Food & Energy,Asia
USTC-Software_2012,Software Tools,Asia
USTC-China_2012,Food & Energy,Asia
Tsinghua_2012,Information Processing,Asia
Tsinghua-A_2012,Foundational Advance,Asia
Tsinghua-D_2012,Foundational Advance,Asia
Tokyo-NoKoGen_2012,New Application,Asia
Tokyo_Tech_2012,Information Processing,Asia
TMU-Tokyo_2012,Environment,Asia
SYSU-Software_2012,Software Tools,Asia
SYSU-China_2012,New Application,Asia
SYSU-Software_2012,Software Tools,Asia
SUSTC-Shenzhen-B_2012,Software Tools,Asia
SogangU-Korea_2012,Undefined,Asia
SUSTC-Shenzhen-A_2012,Software Tools,Asia
SJTU-BioX-Shanghai_2012,New Application,Asia
Shenzhen_2012,Foundational Advance,Asia
Shenzhen_2012,Foundational Advance,Asia
Saitama_2012,Undefined,Asia
SEU_A_2012,Health & Medicine,Asia
Osaka_2012,Environment,Asia
OUC-China_2012,Environment,Asia
Peking_2012,Foundational Advance,Asia
NTU-Taida_2012,Health & Medicine,Asia
NYMU-Taipei_2012,Environment,Asia
NTHU_BioEE_2012,Undefined,Asia
Nanjing_China_Bio_2012,Health & Medicine,Asia
NCTU_Formosa_2012,Food & Energy,Asia
Nanjing-China_2012,Health & Medicine,Asia
Macquarie_Australia_2012,New Application,Asia
Kyoto_2012,New Application,Asia
Korea_U_Seoul_2012,Food & Energy,Asia
KIT-Kyoto_2012,Health & Medicine,Asia
KAIT_Japan_2012,Health & Medicine,Asia
KAIST_Korea_2012,Environment,Asia
JUIT-India_2012,Environment,Asia
IIT_Madras_2012,New Application,Asia
HUST-China_2012,Food & Energy,Asia
Hong_Kong-CUHK_2012,Foundational Advance,Asia
HokkaidoU_Japan_2012,Manufacturing,Asia
HKU_HongKong_2012,Environment,Asia
HKUST-Hong_Kong_2012,Health & Medicine,Asia
HIT-Harbin_2012,Health & Medicine,Asia
Fudan_Lux_2012,Information Processing,Asia
Fudan_D_2012,New Application,Asia
Ehime-Japan_2012,New Application,Asia
CMU-Shenyang_2012,Undefined,Asia
CBNU-Korea_2012,Software Tools,Asia
CD-SCU-CHINA_2012,Environment,Asia
BAU-Indonesia_2012,Environment,Asia
Washington_2012,New Application,Americas West
UT_Dallas_2012,Information Processing,Americas West
USC_2012,New Application,Americas West
Utah_State_2012,Manufacturing,Americas West
UC_Davis_2012,Environment,Americas West
UC-Merced_2012,Food & Energy,Americas West
UCSF_2012,Foundational Advance,Americas West
Stanford-Brown_2012,New Application,Americas West
Reed_2012,Undefined,Americas West
Nevada_2012,Health & Medicine,Americas West
Manitoba_2012,Undefined,Americas West
Lethbridge_2012,Manufacturing,Americas West
Harvey Mudd_2012,Foundational Advance,Americas West
CU-Boulder_2012,Foundational Advance,Americas West
Colorado_State_2012,Food & Energy,Americas West
Caltech_2012,Food & Energy,Americas West
BYUProvo_2012,Health & Medicine,Americas West
Calgary_2012,Environment,Americas West
Berkeley_2012,Information Processing,Americas West
British_Columbia_2012,Foundational Advance,Americas West
Austin_Texas_2012,Food & Energy,Americas West
Arizona_State_2012,Health & Medicine,Americas West
Alberta_2012,Foundational Advance,Americas West
Alberta-North-RBI_2012,Undefined,Americas West
Yale_2012,Foundational Advance,Americas East
WLC-Milwaukee_2012,Health & Medicine,Americas East
West_Point_2012,Undefined,Americas East
Wisconsin-Madison_2012,Food & Energy,Americas East
Wellesley_HCI_2012,Software Tools,Americas East
Waterloo_2012,Foundational Advance,Americas East
WashU_2012,Food & Energy,Americas East
Virginia_2012,Health & Medicine,Americas East
UTK-Knoxville_2012,New Application,Americas East
uOttawa_CA_2012,Foundational Advance,Americas East
UMiami_2012,Undefined,Americas East
UIUC-Illinois_2012,Foundational Advance,Americas East
UGA-Georgia_2012,Foundational Advance,Americas East
Toronto_2012,Food & Energy,Americas East
UConn_2012,Health & Medicine,Americas East
RHIT_2012,New Application,Americas East
Rutgers_2012,Food & Energy,Americas East
Queens_Canada_2012,Foundational Advance,Americas East
Penn_State_2012,Foundational Advance,Americas East
Purdue_2012,Environment,Americas East
Penn_2012,Health & Medicine,Americas East
NYU_Gallatin_2012,New Application,Americas East
NYC_Hunter_Software_2012,Software Tools,Americas East
NYC_Hunter_2012,Information Processing,Americas East
Northeastern_2012,Software Tools,Americas East
Northwestern_2012,Health & Medicine,Americas East
Minnesota_2012,Manufacturing,Americas East
MIT_2012,Information Processing,Americas East
Michigan_2012,Foundational Advance,Americas East
McMaster-Ontario_2012,Health & Medicine,Americas East
Missouri_Miners_2012,Foundational Advance,Americas East
Johns_Hopkins-Wetware_2012,Manufacturing,Americas East
Johns_Hopkins-Software_2012,Software Tools,Americas East
IvyTech-South_Bend_2012,Environment,Americas East
Georgia_Tech_2012,Information Processing,Americas East
GeorgiaState_2012,Environment,Americas East
Gaston_Day_School_2012,Environment,Americas East
Duke_2012,Foundational Advance,Americas East
Cornell_2012,Environment,Americas East
Columbia-Cooper-NYC_2012,Manufacturing,Americas East
Clemson_2012,Environment,Americas East
BostonU_2012,Information Processing,Americas East
Carnegie_Mellon_2012,Foundational Advance,Americas East
